"x","t"
0.148175 ,674.803
0.151499 ,691.332
0.154823 ,707.861
0.158148 ,724.39
0.161467 ,742.985
0.167014 ,767.778
0.172565 ,790.505
0.176996 ,813.233
0.181441 ,829.762
0.186992 ,852.489
0.192539 ,877.282
0.200313 ,908.274
0.205868 ,928.935
0.214753 ,964.059
0.221425 ,986.786
0.232546 ,1023.98
0.24144 ,1054.97
0.252566 ,1090.09
0.261474 ,1114.89
0.271498 ,1141.75
0.280411 ,1164.47
0.288212 ,1183.07
0.296004 ,1205.79
0.304922 ,1226.46
0.317186 ,1253.32
0.327224 ,1273.98
0.336146 ,1292.57
0.347304 ,1313.23
0.35511 ,1329.76
0.366273 ,1348.36
0.378556 ,1366.95
0.390835 ,1387.61
0.404239 ,1406.21
0.418763 ,1424.8
0.434407 ,1443.4
0.448941 ,1457.86
0.464595 ,1472.32
0.481369 ,1486.79
0.498148 ,1499.18
0.512695 ,1507.45
0.537317 ,1519.84
0.560828 ,1528.11
0.584348 ,1532.24
0.603396 ,1532.24
0.621323 ,1532.24
0.644857 ,1530.17
0.668405 ,1521.91
0.693078 ,1511.58
0.713274 ,1499.18
0.731229 ,1486.79
0.748068 ,1472.32
0.763782 ,1459.93
0.780631 ,1441.33
0.794108 ,1426.87
0.812086 ,1404.14
0.825574 ,1385.55
0.842436 ,1360.75
0.855937 ,1335.96
0.867192 ,1313.23
0.876197 ,1294.64
0.886328 ,1273.98
0.898722 ,1242.98
0.907741 ,1218.19
0.916765 ,1191.33
0.923539 ,1168.6
0.931437 ,1143.81
0.938211 ,1121.08
0.943878 ,1092.16
0.950666 ,1063.23
0.958592 ,1026.04
0.964254 ,999.183
0.968801 ,970.257
0.973343 ,943.398
0.97789 ,914.472
0.982455 ,877.282
0.985895 ,842.158
0.989335 ,807.034
0.992761 ,778.109
0.993956 ,745.051
0.996275 ,709.927
0.998562 ,689.266
0.999715 ,674.803
